# Cross-Library Predicate Mapping: SystemE ↔ GeometryProver
# For use in: "Formalizing Euclidean Geometry: A Cross-Library Comparison"
#
# Columns:
#   Category       — semantic category of the predicate
#   SystemE        — SystemE library expression
#   GeometryProver — GeometryProver library expression
#   Canonical      — normalized canonical form (used in evaluation)
#   Notes          — remarks on the mapping

Category,SystemE,GeometryProver,Canonical,Notes
Distance,"|(A─B)|","dist A B","dist A B","Equal in both libraries"
Distance,——,"EqualDistances (Segment A B) (Segment C D)","dist A B = dist C D","GP library predicate; inline-expanded by generator"
Distance,——,"CongruentSegments (Segment A B) (Segment C D)","dist A B = dist C D","Synonym of EqualDistances"
Distance,"A = B","dist A B = dist C D","dist A B = dist C D","Explicit equality in SystemE vs structured in GP"
DistanceRatio,——,"DistanceRatio (Segment A B) (Segment C D) ratio",——,"GP-specific"
Angle,"∠ A:B:C","angle A B C","angle A B C","Same concept, different syntax"
Angle,——,"EqualAngles (Angle A B C) (Angle D E F)","angle A B C = angle D E F","GP library predicate"
Angle,——,"CongruentAngles (Angle A B C) (Angle D E F)","angle A B C = angle D E F","Synonym"
Angle,——,"CongruentAngle (Angle A B C) (Angle D E F)","angle A B C = angle D E F","Synonym"
Angle,——,"AngleMeasure (Angle A B C) val","angle A B C = val","Measured angle equality"
Angle,——,"ComplementaryAngles (Angle A B C) (Angle D E F)",——,"Sum is Real.pi/2"
Angle,——,"SupplementaryAngles (Angle A B C) (Angle D E F)",——,"Sum is Real.pi"
TriangleCongruence,"(△ A:B:C).congruent (△ D:E:F)","TrianglesCongruent (Triangle.mk A B C) (Triangle.mk D E F)","TrianglesCongruent A B C D E F","Both express AAA/SAS congruence"
TriangleSimilarity,——,"SimilarTriangles (Triangle A B C) (Triangle D E F)",——,"GP library predicate; generator emits 3 angle equalities"
TriangleFormation,"formTriangle A B C AB BC CA",——,——,"SystemE-specific; defines a triangle from points and lines"
Collinearity,"collinear A B C","CollinearPoints A B C | AffineIndependent ℝ ![A, B, C]","Collinear A B C | AffineIndependent A B C","GP uses AffineIndependent for formTriangle; CollinearPoints for betweenness"
Betweenness,"between A B C","Between A B C","Between A B C","Direct mapping"
Parallelism,——,"Parallel (Line A B) (Line C D) | VecParallel (B -ᵥ A) (D -ᵥ C)",——,"GP library predicate; inline expands to vector parallelism"
Perpendicularity,——,"Perpendicular (Line A B) (Line C D) | @inner ℝ Vec _ (B -ᵥ A) (D -ᵥ C) = 0","perp AB CD","GP library predicate; inline expands to dot product = 0"
SameSide,"X.sameSide Y UW",——,"sameSide X Y UW","SystemE-specific; no direct GP equivalent"
Midpoint,——,"IsMidpointOf (Point M) (Segment A B) | M = midpoint ℝ A B","M = midpoint ℝ A B","GP uses IsMidpointOf predicate; generator inline-expands"
Median,——,"IsMedianOf (Segment A M) (Triangle A B C) | IsMedian (Point A) (Point M) (Segment B C)",——,"SGR 3-arg: vertex, midpoint, base. DSL 2-arg: segment, triangle"
Altitude,——,"IsAltitudeOf (Segment A H) (Triangle A B C) | IsAltitude (Point H) (Point A) (Segment B C)",——,"SGR 3-arg: foot, vertex, base. DSL 2-arg: segment, triangle"
PerpBisector,——,"IsPerpendicularBisectorOf (Line L) (Segment A B)",——,"Line perpendicular to AB through its midpoint"
AngleBisector,——,"AngleBisector (Point P) (Point V) (Segment S1) (Segment S2)",——,"P is foot of bisector from V; S1,S2 are the two sides"
BisectsAngle,——,"BisectsAngle (Line L) (Angle A B C)",——,"Line L bisects angle ABC"
RightTriangle,——,"IsRight (Triangle A B C)","angle A B C = Real.pi/2","Generator emits right-angle condition"
IsoscelesTriangle,——,"Isosceles (Triangle A B C)","dist A B = dist A C ∨ dist B C = dist A B ∨ ...","Generator emits disjunction of side equalities"
EquilateralTriangle,——,"Equilateral (Triangle A B C)","dist A B = dist B C ∧ dist B C = dist C A","All 3 sides equal"
AcuteTriangle,——,"AcuteTriangle (Triangle A B C)",——,"All angles < Real.pi/2"
ObtuseTriangle,——,"ObtuseTriangle (Triangle A B C)",——,"One angle > Real.pi/2"
Quadrilateral,——,"Quadrilateral (A, B, C, D) | IsParallelogram | IsRectangle | IsSquare | IsRhombus | IsTrapezoid | IsKite",——,"Hierarchy of quadrilateral subtypes in GP"
ConvexQuadrilateral,——,"ConvexQuadrilateral (A, B, C, D)",——,"GP-specific"
CyclicQuadrilateral,——,"CyclicQuadrilateral (A, B, C, D)",——,"Vertices concyclic"
Concyclic,——,"Concyclic (A, B, C, D, ...)",——,"Points on same circle"
Cospherical,——,"Cospherical (A, B, C, D, ...)",——,"Points on same sphere"
PointOnLine,——,"PointLiesOnLine (Point P) (Line A B) | CollinearPoints A B P","Collinear A B P","Inline expanded"
PointOnCircle,——,"PointLiesOnCircle (Point P) (Circle O)","dist P O = radius","Generator computes radius from circle"
Intersection," (implicit in SystemE)","IntersectAt (Line A B) (Line C D) (Point P)",——,"SystemE encodes intersection via formTriangle"
Tangent,——,"Tangent (Line L) (Circle O) | TangentToCircle (Line L) (Circle O) (Point T)",——,"Line tangent to circle at point T"
Secant,——,"Secant (Line L) (Circle O) (Point A) (Point B)",——,"Line intersecting circle at A and B"
Chord,——,"IsChordOf (Segment A B) (Circle O)",——,"Both endpoints on circle"
Radius,——,"IsRadiusOf (Segment OA) (Circle O) | RadiusOf (Circle O)",——,"Segment from center to circumference"
